quantity,product,batch_id,timestamp,stream,shift,row_sequence
250.07,product_A,batch_01,2026-07-18T00:00:00Z,stream_1,day,1
250.26,product_A,batch_01,2026-07-18T00:01:00Z,stream_1,night,2
250.12,product_A,batch_01,2026-07-18T00:02:00Z,stream_2,day,3
250.32,product_A,batch_01,2026-07-18T00:03:00Z,stream_2,night,4
250.17,product_B,batch_01,2026-07-18T00:04:00Z,stream_1,day,5
250.35,product_B,batch_01,2026-07-18T00:05:00Z,stream_1,night,6
250.20,product_B,batch_01,2026-07-18T00:06:00Z,stream_2,day,7
250.42,product_B,batch_01,2026-07-18T00:07:00Z,stream_2,night,8
249.78,product_A,batch_01,2026-07-18T00:08:00Z,stream_1,day,9
250.28,product_A,batch_01,2026-07-18T00:09:00Z,stream_1,night,10
250.13,product_A,batch_01,2026-07-18T00:10:00Z,stream_2,day,11
250.34,product_A,batch_01,2026-07-18T00:11:00Z,stream_2,night,12
250.17,product_B,batch_01,2026-07-18T00:12:00Z,stream_1,day,13
250.39,product_B,batch_01,2026-07-18T00:13:00Z,stream_1,night,14
250.21,product_B,batch_01,2026-07-18T00:14:00Z,stream_2,day,15
250.43,product_B,batch_01,2026-07-18T00:15:00Z,stream_2,night,16
250.08,product_A,batch_01,2026-07-18T00:16:00Z,stream_1,day,17
250.29,product_A,batch_01,2026-07-18T00:17:00Z,stream_1,night,18
250.13,product_A,batch_01,2026-07-18T00:18:00Z,stream_2,day,19
250.36,product_A,batch_01,2026-07-18T00:19:00Z,stream_2,night,20
250.15,product_B,batch_01,2026-07-18T00:20:00Z,stream_1,day,21
250.36,product_B,batch_01,2026-07-18T00:21:00Z,stream_1,night,22
250.20,product_B,batch_01,2026-07-18T00:22:00Z,stream_2,day,23
250.42,product_B,batch_01,2026-07-18T00:23:00Z,stream_2,night,24
250.09,product_A,batch_01,2026-07-18T00:24:00Z,stream_1,day,25
250.29,product_A,batch_01,2026-07-18T00:25:00Z,stream_1,night,26
250.15,product_A,batch_01,2026-07-18T00:26:00Z,stream_2,day,27
250.35,product_A,batch_01,2026-07-18T00:27:00Z,stream_2,night,28
250.15,product_B,batch_01,2026-07-18T00:28:00Z,stream_1,day,29
250.38,product_B,batch_01,2026-07-18T00:29:00Z,stream_1,night,30
250.21,product_B,batch_01,2026-07-18T00:30:00Z,stream_2,day,31
250.43,product_B,batch_01,2026-07-18T00:31:00Z,stream_2,night,32
250.07,product_A,batch_01,2026-07-18T00:32:00Z,stream_1,day,33
250.26,product_A,batch_01,2026-07-18T00:33:00Z,stream_1,night,34
250.15,product_A,batch_01,2026-07-18T00:34:00Z,stream_2,day,35
250.34,product_A,batch_01,2026-07-18T00:35:00Z,stream_2,night,36
250.16,product_B,batch_01,2026-07-18T00:36:00Z,stream_1,day,37
250.35,product_B,batch_01,2026-07-18T00:37:00Z,stream_1,night,38
250.23,product_B,batch_01,2026-07-18T00:38:00Z,stream_2,day,39
