quantity,product,batch_id,timestamp,stream,shift,row_sequence
250.12,product_A,batch_01,2026-07-18T00:00:00Z,stream_1,day,1
250.23,product_A,batch_01,2026-07-18T00:01:00Z,stream_1,night,2
250.19,product_A,batch_01,2026-07-18T00:02:00Z,stream_2,day,3
250.34,product_A,batch_01,2026-07-18T00:03:00Z,stream_2,night,4
250.19,product_B,batch_01,2026-07-18T00:04:00Z,stream_1,day,5
250.34,product_B,batch_01,2026-07-18T00:05:00Z,stream_1,night,6
250.28,product_B,batch_01,2026-07-18T00:06:00Z,stream_2,day,7
250.39,product_B,batch_01,2026-07-18T00:07:00Z,stream_2,night,8
250.15,product_A,batch_01,2026-07-18T00:08:00Z,stream_1,day,9
250.24,product_A,batch_01,2026-07-18T00:09:00Z,stream_1,night,10
250.18,product_A,batch_01,2026-07-18T00:10:00Z,stream_2,day,11
250.29,product_A,batch_01,2026-07-18T00:11:00Z,stream_2,night,12
250.22,product_B,batch_01,2026-07-18T00:12:00Z,stream_1,day,13
250.31,product_B,batch_01,2026-07-18T00:13:00Z,stream_1,night,14
250.27,product_B,batch_01,2026-07-18T00:14:00Z,stream_2,day,15
250.38,product_B,batch_01,2026-07-18T00:15:00Z,stream_2,night,16
250.12,product_A,batch_01,2026-07-18T00:16:00Z,stream_1,day,17
250.23,product_A,batch_01,2026-07-18T00:17:00Z,stream_1,night,18
250.16,product_A,batch_01,2026-07-18T00:18:00Z,stream_2,day,19
250.31,product_A,batch_01,2026-07-18T00:19:00Z,stream_2,night,20
250.20,product_B,batch_01,2026-07-18T00:20:00Z,stream_1,day,21
250.31,product_B,batch_01,2026-07-18T00:21:00Z,stream_1,night,22
250.27,product_B,batch_01,2026-07-18T00:22:00Z,stream_2,day,23
250.37,product_B,batch_01,2026-07-18T00:23:00Z,stream_2,night,24
250.12,product_A,batch_01,2026-07-18T00:24:00Z,stream_1,day,25
250.25,product_A,batch_01,2026-07-18T00:25:00Z,stream_1,night,26
250.18,product_A,batch_01,2026-07-18T00:26:00Z,stream_2,day,27
250.31,product_A,batch_01,2026-07-18T00:27:00Z,stream_2,night,28
250.21,product_B,batch_01,2026-07-18T00:28:00Z,stream_1,day,29
250.33,product_B,batch_01,2026-07-18T00:29:00Z,stream_1,night,30
250.25,product_B,batch_01,2026-07-18T00:30:00Z,stream_2,day,31
250.39,product_B,batch_01,2026-07-18T00:31:00Z,stream_2,night,32
250.11,product_A,batch_01,2026-07-18T00:32:00Z,stream_1,day,33
250.24,product_A,batch_01,2026-07-18T00:33:00Z,stream_1,night,34
250.17,product_A,batch_01,2026-07-18T00:34:00Z,stream_2,day,35
250.31,product_A,batch_01,2026-07-18T00:35:00Z,stream_2,night,36
250.22,product_B,batch_01,2026-07-18T00:36:00Z,stream_1,day,37
250.30,product_B,batch_01,2026-07-18T00:37:00Z,stream_1,night,38
250.24,product_B,batch_01,2026-07-18T00:38:00Z,stream_2,day,39
250.39,product_B,batch_01,2026-07-18T00:39:00Z,stream_2,night,40
250.13,product_A,batch_01,2026-07-18T00:40:00Z,stream_1,day,41
250.22,product_A,batch_01,2026-07-18T00:41:00Z,stream_1,night,42
250.17,product_A,batch_01,2026-07-18T00:42:00Z,stream_2,day,43
250.34,product_A,batch_01,2026-07-18T00:43:00Z,stream_2,night,44
250.20,product_B,batch_01,2026-07-18T00:44:00Z,stream_1,day,45
250.32,product_B,batch_01,2026-07-18T00:45:00Z,stream_1,night,46
250.25,product_B,batch_01,2026-07-18T00:46:00Z,stream_2,day,47
250.39,product_B,batch_01,2026-07-18T00:47:00Z,stream_2,night,48
250.11,product_A,batch_01,2026-07-18T00:48:00Z,stream_1,day,49
250.23,product_A,batch_01,2026-07-18T00:49:00Z,stream_1,night,50
250.19,product_A,batch_01,2026-07-18T00:50:00Z,stream_2,day,51
250.30,product_A,batch_01,2026-07-18T00:51:00Z,stream_2,night,52
250.16,product_B,batch_01,2026-07-18T00:52:00Z,stream_1,day,53
250.31,product_B,batch_01,2026-07-18T00:53:00Z,stream_1,night,54
250.27,product_B,batch_01,2026-07-18T00:54:00Z,stream_2,day,55
250.37,product_B,batch_01,2026-07-18T00:55:00Z,stream_2,night,56
250.14,product_A,batch_01,2026-07-18T00:56:00Z,stream_1,day,57
250.25,product_A,batch_01,2026-07-18T00:57:00Z,stream_1,night,58
250.14,product_A,batch_01,2026-07-18T00:58:00Z,stream_2,day,59
250.29,product_A,batch_01,2026-07-18T00:59:00Z,stream_2,night,60
250.20,product_B,batch_01,2026-07-18T01:00:00Z,stream_1,day,61
250.32,product_B,batch_01,2026-07-18T01:01:00Z,stream_1,night,62
250.26,product_B,batch_01,2026-07-18T01:02:00Z,stream_2,day,63
250.39,product_B,batch_01,2026-07-18T01:03:00Z,stream_2,night,64
250.12,product_A,batch_01,2026-07-18T01:04:00Z,stream_1,day,65
250.24,product_A,batch_01,2026-07-18T01:05:00Z,stream_1,night,66
250.19,product_A,batch_01,2026-07-18T01:06:00Z,stream_2,day,67
250.31,product_A,batch_01,2026-07-18T01:07:00Z,stream_2,night,68
250.20,product_B,batch_01,2026-07-18T01:08:00Z,stream_1,day,69
250.33,product_B,batch_01,2026-07-18T01:09:00Z,stream_1,night,70
250.26,product_B,batch_01,2026-07-18T01:10:00Z,stream_2,day,71
250.37,product_B,batch_01,2026-07-18T01:11:00Z,stream_2,night,72
250.10,product_A,batch_01,2026-07-18T01:12:00Z,stream_1,day,73
250.23,product_A,batch_01,2026-07-18T01:13:00Z,stream_1,night,74
250.18,product_A,batch_01,2026-07-18T01:14:00Z,stream_2,day,75
250.31,product_A,batch_01,2026-07-18T01:15:00Z,stream_2,night,76
250.17,product_B,batch_01,2026-07-18T01:16:00Z,stream_1,day,77
